loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,Address
6500, 36 months,19.95,241.4,F,F4,Administrative Assistant,10+ years,MORTGAGE,80417.08,Source Verified,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,11.03,Jul-1985,18,0,2425.9,,34,f,Individual,0.0,0.0,"2518 Main St
NE 51642"
37500, 60 months,22.14,1038.7,F,F4,Vice President,9 years,RENT,56203.09,Verified,Apr-2020,Charged Off,car,Car financing,18.17,May-2000,9,2,6492.88,41.7,24,w,Individual,1.0,1.0,"2245 Main St
MA 27900"
8500, 60 months,13.96,197.6,B,B4,Manager,5 years,MORTGAGE,38943.28,Source Verified,Jun-2016,Charged Off,other,Other,24.86,Mar-1997,9,0,8250.05,36.5,21,w,Individual,6.0,0.0,"8966 Main St
KY 72652"
36500, 36 months,24.18,1435.45,G,G3,Clerk,10+ years,RENT,90112.99,Source Verified,Oct-2017,Charged Off,debt_consolidation,Debt consolidation,12.57,Jul-1996,11,1,5924.69,25.5,25,f,Individual,,1.0,"2169 Main St
KY 10809"
38500, 36 months,7.04,1189.47,B,B5,Director,2 years,OWN,92323.54,Verified,Aug-2018,Fully Paid,debt_consolidation,Debt consolidation,12.58,Dec-2001,11,1,4684.59,6.1,22,w,Individual,5.0,0.0,"4058 Main St
PA 48376"
12500, 36 months,17.5,448.78,E,E4,Software Engineer,10+ years,MORTGAGE,45528.75,Verified,Apr-2017,Fully Paid,debt_consolidation,Debt consolidation,12.75,May-1988,13,0,12362.82,21.1,27,f,Individual,2.0,0.0,"6332 Main St
MS 89455"
14500, 36 months,7.71,452.44,B,B4,General Manager,5 years,MORTGAGE,74188.28,Source Verified,Mar-2015,Fully Paid,debt_consolidation,Debt consolidation,14.92,Dec-1991,12,0,1261.09,28.4,22,f,Individual,0.0,0.0,"2363 Main St
SD 84605"
4500, 36 months,9.56,144.27,C,C3,CEO,2 years,MORTGAGE,35781.6,Not Verified,Feb-2020,Charged Off,debt_consolidation,Debt consolidation,19.78,Mar-2015,14,0,14651.06,32.4,21,w,Individual,1.0,0.0,"3066 Main St
AR 15426"
18500, 36 months,23.27,718.74,F,F2,Accountant,2 years,RENT,66085.03,Source Verified,Feb-2016,Charged Off,debt_consolidation,Debt consolidation,16.72,Apr-1997,6,0,1881.39,28.0,22,w,Individual,2.0,1.0,"8112 Main St
IL 32608"
4500, 36 months,21.84,171.48,F,F4,Accountant,10+ years,MORTGAGE,36652.99,Verified,Apr-2016,Charged Off,debt_consolidation,Debt consolidation,17.9,Mar-1992,6,2,10024.74,37.4,12,f,Individual,2.0,1.0,"1928 Main St
CT 89957"
29500, 36 months,19.69,1091.67,D,D4,Attorney,9 years,RENT,44646.83,Not Verified,Oct-2019,Charged Off,medical,Medical expenses,28.56,Jun-1996,14,0,10436.06,,30,f,Individual,5.0,0.0,"8173 Main St
VT 90335"
30500, 36 months,16.29,1076.66,D,D2,Data Analyst,2 years,MORTGAGE,100501.14,Verified,Jan-2017,Charged Off,credit_card,Credit card refinancing,17.41,Jun-2002,16,0,4108.64,25.7,28,w,Individual,2.0,0.0,"1780 Main St
NJ 75976"
25500, 36 months,3.0,741.57,A,A4,Administrative Assistant,3 years,RENT,121642.59,Verified,Apr-2020,Fully Paid,credit_card,Credit card refinancing,22.45,Dec-2004,9,0,11957.97,65.6,19,f,Individual,0.0,0.0,"6269 Main St
NY 97386"
14500, 60 months,18.94,375.66,D,D4,Human Resources,5 years,RENT,25979.76,Source Verified,Mar-2019,Fully Paid,debt_consolidation,Debt consolidation,13.23,Apr-1995,8,0,3282.92,78.7,21,w,Individual,5.0,1.0,"3082 Main St
PA 54614"
21000, 36 months,9.13,669.07,C,C4,Retail,< 1 year,MORTGAGE,54593.93,Verified,Aug-2016,Charged Off,debt_consolidation,Debt consolidation,20.21,Feb-2010,10,0,1998.87,30.2,20,w,Individual,0.0,0.0,"9661 Main St
WA 96156"
32500, 36 months,3.0,945.14,A,A5,Engineer,1 year,MORTGAGE,89915.4,Source Verified,Jan-2015,Fully Paid,debt_consolidation,Debt consolidation,18.67,Apr-2015,9,0,1752.62,79.4,21,w,Individual,0.0,0.0,"3634 Main St
AL 54932"
14000, 36 months,4.99,419.53,A,A1,Truck Driver,10+ years,MORTGAGE,32015.52,Verified,Sep-2020,Fully Paid,debt_consolidation,Debt consolidation,14.79,Dec-1987,6,0,27925.54,15.2,17,w,Individual,4.0,0.0,"8726 Main St
WA 99753"
32000, 36 months,8.81,1014.76,A,A5,,10+ years,RENT,47183.85,Source Verified,Jul-2015,Fully Paid,small_business,Business,18.59,Apr-1990,11,0,11772.06,11.3,20,w,Joint App,7.0,0.0,"7731 Main St
OH 74262"
9000, 36 months,9.6,288.72,D,D2,Chef,10+ years,MORTGAGE,83085.15,Verified,Apr-2019,Fully Paid,debt_consolidation,Debt consolidation,8.96,Oct-2011,16,2,17271.5,10.6,26,f,Individual,9.0,0.0,"1697 Main St
AZ 96913"
37000, 36 months,3.0,1076.0,A,A5,Electrician,1 year,MORTGAGE,43332.13,Not Verified,Dec-2017,Fully Paid,home_improvement,Home improvement,20.0,Mar-2000,14,0,33958.84,15.3,26,w,Individual,1.0,0.0,"1245 Main St
KY 61008"
17000, 36 months,14.26,583.17,C,C5,Sales,10+ years,MORTGAGE,26959.41,Not Verified,Jul-2019,Fully Paid,credit_card,Credit card refinancing,9.72,Sep-1992,10,0,1591.45,30.2,15,w,Joint App,1.0,0.0,"666 Main St
RI 87639"
39000, 36 months,6.39,1193.36,B,B3,Cook,4 years,RENT,48976.78,Not Verified,Feb-2019,Charged Off,home_improvement,Home improvement,27.89,May-1989,7,0,3186.04,76.3,15,f,Joint App,0.0,0.0,"3328 Main St
VA 21764"
15000, 36 months,13.84,511.5,C,C2,Pharmacist,4 years,MORTGAGE,52749.0,Verified,Nov-2018,Charged Off,small_business,Business,15.29,Feb-2004,15,0,14705.63,65.7,25,w,Joint App,0.0,0.0,"6823 Main St
CO 12437"
7000, 36 months,13.07,236.09,D,D2,Accountant,1 year,RENT,152394.86,Source Verified,Dec-2017,Fully Paid,debt_consolidation,Debt consolidation,12.22,Sep-1999,10,0,14617.69,54.7,21,w,Individual,6.0,0.0,"3508 Main St
OK 38053"
23500, 36 months,16.5,832.0,D,D2,Owner,10+ years,RENT,245918.59,Not Verified,Oct-2019,Charged Off,credit_card,Credit card refinancing,22.27,May-2007,14,0,18670.78,31.8,23,w,Individual,4.0,0.0,"494 Main St
MN 92834"
18000, 36 months,17.23,643.81,C,C5,Operations Manager,10+ years,OWN,73249.15,Not Verified,Jul-2015,Fully Paid,credit_card,Credit card refinancing,19.26,Jul-2002,9,0,2171.65,86.9,19,f,Individual,,0.0,"4548 Main St
NJ 29742"
3500, 36 months,8.42,110.36,C,C2,Cook,10+ years,MORTGAGE,63385.39,Source Verified,Apr-2016,Charged Off,debt_consolidation,Debt consolidation,16.51,Mar-1992,11,0,8759.01,53.9,22,f,Individual,5.0,0.0,"1155 Main St
TX 68691"
35000, 36 months,10.56,1138.58,B,B3,Cook,1 year,MORTGAGE,30743.67,Not Verified,Feb-2019,Fully Paid,major_purchase,Major purchase,5.65,Oct-2008,7,1,4534.44,7.4,17,f,Individual,1.0,0.0,"1039 Main St
MD 59126"
24000, 60 months,22.04,663.4,E,E4,Consultant,10+ years,RENT,25904.23,Verified,Nov-2016,Charged Off,debt_consolidation,Debt consolidation,24.47,Oct-1992,14,0,28811.21,45.1,33,f,Individual,1.0,0.0,"6669 Main St
KY 91800"
13000, 36 months,4.28,385.43,B,B5,Attorney,9 years,MORTGAGE,120215.68,Source Verified,Jun-2018,Fully Paid,debt_consolidation,Debt consolidation,17.08,Aug-1994,13,0,37694.25,24.8,30,w,Joint App,0.0,0.0,"9175 Main St
NM 67071"
33500, 36 months,9.4,1071.54,B,B4,Nurse,1 year,RENT,24758.5,Verified,Nov-2017,Fully Paid,small_business,Business,13.21,Jun-1995,12,0,14471.44,38.7,20,w,Individual,2.0,1.0,"7343 Main St
OR 24020"
5500, 36 months,16.25,194.04,D,D4,Registered Nurse,3 years,MORTGAGE,88993.7,Verified,Mar-2018,Fully Paid,car,Car financing,11.17,Sep-1989,14,0,11912.55,11.1,23,f,Individual,3.0,1.0,"1046 Main St
NJ 15878"
28500, 60 months,8.23,581.02,B,B5,Cook,10+ years,RENT,250636.2,Verified,Jul-2017,Charged Off,home_improvement,Home improvement,27.31,Dec-1994,10,2,2483.29,14.7,23,f,Individual,1.0,0.0,"8801 Main St
ID 76682"
15500, 60 months,21.01,419.41,E,E5,Electrician,10+ years,RENT,32429.9,Not Verified,Jun-2019,Fully Paid,debt_consolidation,Debt consolidation,19.11,Jul-2002,13,0,2716.01,54.0,26,f,Individual,2.0,0.0,"3276 Main St
SC 65637"
3000, 36 months,7.12,92.8,B,B2,Analyst,10+ years,OWN,18961.62,Source Verified,Dec-2016,Fully Paid,major_purchase,Major purchase,31.85,Aug-1997,6,0,25391.04,58.6,21,w,Individual,0.0,0.0,"752 Main St
AZ 55214"
17000, 36 months,16.25,599.77,D,D3,Project Manager,7 years,RENT,79864.81,Verified,Mar-2019,Fully Paid,debt_consolidation,Debt consolidation,27.66,Mar-1985,7,0,13786.62,79.3,18,f,Individual,1.0,0.0,"311 Main St
NC 93790"
33000, 36 months,5.48,996.17,A,A5,Registered Nurse,7 years,MORTGAGE,129490.17,Verified,Aug-2016,Fully Paid,debt_consolidation,Debt consolidation,17.96,May-2006,11,1,3931.03,43.7,28,f,Individual,3.0,0.0,"4783 Main St
WA 39984"
9500, 36 months,9.87,305.96,B,B4,Vice President,10+ years,RENT,33052.54,Not Verified,Jul-2016,Fully Paid,debt_consolidation,Debt consolidation,19.71,May-2008,11,0,16908.62,13.7,23,w,Individual,6.0,2.0,"8897 Main St
ND 47503"
25000, 60 months,4.18,462.45,B,B5,CEO,10+ years,MORTGAGE,106470.01,Verified,Sep-2015,Fully Paid,debt_consolidation,Debt consolidation,9.1,Aug-2009,11,0,1229.15,71.7,22,f,Individual,0.0,0.0,"8237 Main St
MA 38780"
6000, 36 months,20.52,224.57,D,D3,Retail,2 years,RENT,126568.0,Verified,Feb-2016,Fully Paid,credit_card,Credit card refinancing,21.85,Nov-2001,9,0,5051.28,79.1,21,w,Individual,,0.0,"478 Main St
NM 19897"
13500, 36 months,20.53,505.36,F,F1,Security Officer,10+ years,MORTGAGE,75307.42,Verified,Sep-2015,Fully Paid,debt_consolidation,Debt consolidation,17.6,Sep-1994,13,0,11472.3,44.9,23,w,Joint App,9.0,0.0,"1844 Main St
WI 12762"
32000, 60 months,14.28,749.24,C,C4,Attorney,4 years,RENT,47161.28,Verified,Mar-2018,Charged Off,home_improvement,Home improvement,16.32,Mar-2005,11,0,53792.08,40.0,24,w,Individual,1.0,0.0,"2429 Main St
TX 42951"
30000, 60 months,16.28,734.01,D,D1,Administrative Assistant,5 years,OWN,97194.62,Verified,Jul-2019,Fully Paid,debt_consolidation,Debt consolidation,13.79,Dec-1994,9,0,10040.29,25.3,26,w,Individual,4.0,1.0,"3337 Main St
DC 66041"
14000, 36 months,11.52,461.8,D,D1,CEO,1 year,MORTGAGE,43777.11,Verified,Feb-2016,Charged Off,debt_consolidation,Debt consolidation,21.94,Dec-2006,10,0,26299.6,56.1,25,f,Individual,3.0,0.0,"8682 Main St
CT 51214"
25000, 36 months,25.58,1001.68,F,F3,Warehouse Worker,8 years,RENT,58273.49,Verified,Apr-2016,Fully Paid,debt_consolidation,Debt consolidation,13.43,Dec-2000,11,0,4524.23,11.2,22,f,Individual,3.0,0.0,"5945 Main St
WY 93085"
39000, 36 months,12.69,1308.25,D,D5,General Manager,1 year,MORTGAGE,48124.74,Source Verified,Nov-2017,Fully Paid,debt_consolidation,Debt consolidation,10.69,Aug-2011,11,0,3370.16,33.8,23,f,Joint App,,1.0,"5908 Main St
CA 95459"
17000, 60 months,7.14,337.74,A,A1,Accountant,10+ years,MORTGAGE,70870.12,Not Verified,May-2019,Fully Paid,debt_consolidation,Debt consolidation,11.17,Oct-2015,8,0,2943.68,64.5,23,f,Individual,0.0,0.0,"467 Main St
NH 56883"
1000, 60 months,13.51,23.01,D,D2,Financial Analyst,9 years,OWN,66551.98,Verified,Nov-2020,Charged Off,credit_card,Credit card refinancing,10.24,Jul-1987,13,0,40835.99,8.2,23,f,Individual,0.0,0.0,"3966 Main St
WY 11869"
11000, 36 months,7.52,342.27,C,C5,Cook,10+ years,MORTGAGE,58953.61,Verified,Feb-2018,Fully Paid,credit_card,Credit card refinancing,24.18,Apr-1988,15,0,9971.68,51.8,29,f,Individual,1.0,1.0,"9696 Main St
ND 64534"
28000, 36 months,8.07,878.32,A,A4,Nurse,3 years,MORTGAGE,51779.15,Not Verified,Sep-2016,Fully Paid,debt_consolidation,Debt consolidation,13.89,Sep-2006,13,0,4102.43,41.3,23,f,Individual,3.0,0.0,"4046 Main St
VT 74366"
3500, 60 months,8.45,71.72,B,B5,Engineer,10+ years,MORTGAGE,85561.14,Verified,Aug-2015,Fully Paid,car,Car financing,15.88,Aug-1996,11,0,2904.02,18.4,24,w,Individual,6.0,0.0,"2147 Main St
WY 84126"
35000, 36 months,22.6,1347.55,E,E3,IT Manager,10+ years,OWN,38652.36,Not Verified,Mar-2016,Fully Paid,debt_consolidation,Debt consolidation,28.39,Jun-2008,13,0,15317.09,74.9,29,f,Individual,,0.0,"728 Main St
KY 51785"
3000, 36 months,17.45,107.63,E,E3,Registered Nurse,4 years,MORTGAGE,36803.39,Source Verified,May-2016,Charged Off,debt_consolidation,Debt consolidation,11.18,Jan-1990,8,0,1110.92,51.4,23,w,Joint App,8.0,0.0,"5718 Main St
NJ 51923"
2000, 60 months,9.38,41.89,D,D4,Engineer,1 year,MORTGAGE,118369.38,Not Verified,Jan-2016,Fully Paid,credit_card,Credit card refinancing,10.48,Mar-2008,9,0,602.12,40.3,23,f,Joint App,0.0,0.0,"5238 Main St
VA 70794"
27000, 36 months,31.0,1161.03,G,G4,Physician,9 years,MORTGAGE,104586.78,Verified,Jan-2015,Charged Off,debt_consolidation,Debt consolidation,17.56,Feb-1990,6,2,18988.97,42.4,21,w,Individual,4.0,0.0,"9947 Main St
NM 85500"
12000, 36 months,15.98,421.77,D,D4,Paramedic,,OWN,39525.01,Not Verified,Mar-2018,Fully Paid,debt_consolidation,Debt consolidation,13.33,Jul-1998,8,0,11323.6,35.0,21,w,Individual,2.0,0.0,"4314 Main St
HI 45822"
27000, 60 months,5.98,521.73,A,A3,Physician,3 years,OWN,38069.08,Source Verified,Aug-2016,Fully Paid,debt_consolidation,Debt consolidation,24.71,Feb-2015,10,0,13381.7,17.0,23,f,Individual,3.0,0.0,"2929 Main St
TN 83620"
19000, 60 months,9.64,400.34,B,B5,Clerk,10+ years,OWN,39377.82,Source Verified,Nov-2020,Fully Paid,moving,Moving and relocation,15.48,Mar-1986,11,0,155176.82,23.2,22,w,Individual,0.0,0.0,"4034 Main St
OH 78300"
37500, 36 months,4.33,1112.66,A,A1,Technician,10+ years,RENT,19780.86,Verified,Apr-2018,Fully Paid,major_purchase,Major purchase,12.19,Feb-1998,14,0,15458.35,34.7,18,w,Individual,0.0,0.0,"9842 Main St
MA 45859"
37500, 36 months,5.45,1131.5,A,A1,Data Analyst,6 years,RENT,105535.15,Verified,Mar-2019,Fully Paid,car,Car financing,12.56,Apr-1990,9,0,24459.16,37.4,21,f,Individual,0.0,0.0,"3534 Main St
NJ 59984"
9000, 36 months,11.98,298.84,B,B2,General Manager,< 1 year,RENT,74351.76,Not Verified,Oct-2015,Fully Paid,debt_consolidation,Debt consolidation,22.87,Nov-2009,13,0,1450.95,36.4,27,w,Individual,6.0,0.0,"9159 Main St
AZ 22373"
39500, 36 months,11.9,1310.08,C,C3,Bus Driver,2 years,OWN,34947.32,Verified,Mar-2020,Fully Paid,debt_consolidation,Debt consolidation,14.53,Feb-2000,14,0,14888.15,30.1,32,w,Individual,2.0,0.0,"5998 Main St
TN 33621"
37000, 36 months,22.83,1428.98,E,E4,Consultant,4 years,OWN,91542.51,Source Verified,Dec-2017,Fully Paid,credit_card,Credit card refinancing,19.13,Mar-2008,3,0,1978.13,33.3,25,f,Joint App,0.0,1.0,"9993 Main St
OR 40657"
1000, 60 months,14.03,23.28,E,E5,Software Engineer,6 years,MORTGAGE,101786.45,Verified,Mar-2020,Fully Paid,debt_consolidation,Debt consolidation,11.86,Dec-2001,12,0,10314.54,58.7,27,w,Individual,3.0,1.0,"1445 Main St
KY 64842"
26000, 36 months,15.37,906.02,C,C3,Operations Manager,6 years,RENT,58100.27,Source Verified,Jun-2018,Fully Paid,debt_consolidation,Debt consolidation,11.0,May-1997,10,0,1857.52,46.4,24,f,Individual,2.0,1.0,"1459 Main St
ID 81154"
23000, 36 months,15.43,802.15,E,E2,CFO,< 1 year,RENT,78537.24,Verified,Oct-2017,Fully Paid,house,Home buying,11.53,Mar-1994,7,1,25478.88,16.3,22,f,Individual,4.0,1.0,"3667 Main St
AL 27972"
39000, 36 months,15.03,1352.52,C,C1,Accountant,10+ years,MORTGAGE,77538.54,Source Verified,Aug-2017,Fully Paid,debt_consolidation,Debt consolidation,12.33,Jul-1998,7,0,22797.46,50.7,15,w,Individual,2.0,0.0,"7240 Main St
MT 62876"
2500, 60 months,21.17,67.87,E,E5,Driver,7 years,RENT,59356.27,Not Verified,Feb-2016,Charged Off,house,Home buying,20.67,Feb-1994,11,0,2896.72,18.3,28,w,Individual,1.0,0.0,"5737 Main St
ND 65525"
31500, 36 months,7.76,983.61,B,B1,Vice President,< 1 year,MORTGAGE,60940.79,Verified,Apr-2015,Fully Paid,debt_consolidation,Debt consolidation,9.22,Jul-2013,15,0,7427.79,29.2,23,w,Individual,1.0,0.0,"5838 Main St
IL 88608"
33000, 36 months,7.75,1030.3,B,B5,Chef,10+ years,MORTGAGE,74574.07,Not Verified,Aug-2020,Fully Paid,debt_consolidation,Debt consolidation,10.4,Dec-2005,12,1,1442.76,46.3,16,f,Individual,,2.0,"7918 Main St
VT 93958"
16500, 36 months,19.24,606.83,E,E4,Consultant,1 year,RENT,67786.38,Verified,Nov-2017,Fully Paid,debt_consolidation,Debt consolidation,21.04,Mar-2001,16,0,3992.47,49.8,32,w,Joint App,1.0,0.0,"5466 Main St
SC 44809"
17500, 36 months,5.95,531.99,B,B5,Chef,10+ years,OWN,45962.51,Source Verified,Dec-2019,Fully Paid,credit_card,Credit card refinancing,19.62,Jan-2004,12,0,7373.85,50.0,24,f,Individual,1.0,0.0,"5321 Main St
IL 59831"
36500, 36 months,11.38,1201.54,C,C4,Server,10+ years,RENT,43007.53,Verified,May-2017,Fully Paid,debt_consolidation,Debt consolidation,20.68,Jul-1996,10,0,25279.02,50.0,22,w,Individual,0.0,0.0,"9080 Main St
MA 61898"
20000, 36 months,13.52,678.9,B,B3,Bus Driver,10+ years,OWN,156094.35,Source Verified,Jun-2015,Fully Paid,credit_card,Credit card refinancing,10.23,Feb-2005,11,0,26019.62,55.3,29,w,Joint App,3.0,0.0,"3072 Main St
NJ 35494"
13500, 36 months,15.91,474.02,C,C1,Registered Nurse,4 years,MORTGAGE,47780.14,Source Verified,Oct-2018,Charged Off,major_purchase,Major purchase,16.21,May-1989,11,0,4162.5,15.3,21,w,Individual,,0.0,"8837 Main St
DE 25500"
17500, 36 months,24.82,694.13,G,G5,Electrician,2 years,RENT,27759.71,Not Verified,Apr-2015,Fully Paid,credit_card,Credit card refinancing,8.56,Mar-2001,11,0,59551.34,19.5,35,f,Individual,,0.0,"268 Main St
ME 26900"
27500, 36 months,5.54,830.88,A,A5,Director,1 year,OWN,121453.97,Not Verified,Nov-2015,Fully Paid,home_improvement,Home improvement,9.28,May-1991,14,0,6238.85,27.5,26,w,Individual,7.0,3.0,"7302 Main St
TN 27407"
2000, 36 months,20.29,74.62,E,E2,President,1 year,MORTGAGE,58365.83,Not Verified,May-2018,Fully Paid,credit_card,Credit card refinancing,14.15,Jan-2004,10,0,17441.77,52.6,20,w,Individual,6.0,0.0,"7783 Main St
IL 32466"
25500, 36 months,4.72,761.06,A,A1,Mechanic,10+ years,OWN,57251.73,Source Verified,Oct-2016,Fully Paid,other,Other,18.27,Feb-2007,17,0,5802.08,40.9,26,w,Individual,8.0,0.0,"4896 Main St
PA 12557"
6500, 36 months,5.49,196.24,B,B3,Human Resources,10+ years,MORTGAGE,57879.18,Verified,Dec-2020,Charged Off,home_improvement,Home improvement,24.84,Feb-2001,12,0,81490.97,41.0,22,f,Joint App,,0.0,"6891 Main St
ID 73328"
33000, 36 months,5.89,1002.28,A,A4,Supervisor,10+ years,MORTGAGE,127175.89,Not Verified,Sep-2015,Fully Paid,small_business,Business,13.89,Oct-1992,8,0,12689.39,8.6,17,w,Individual,4.0,0.0,"3704 Main St
MI 94184"
27500, 36 months,18.96,1007.48,D,D3,Server,4 years,OWN,33392.06,Verified,Aug-2019,Fully Paid,other,Other,20.04,May-1999,5,0,3277.67,12.7,15,f,Joint App,3.0,0.0,"1445 Main St
NC 54840"
3000, 36 months,3.33,87.68,A,A2,Software Engineer,10+ years,RENT,115703.76,Not Verified,Aug-2018,Fully Paid,debt_consolidation,Debt consolidation,11.38,Jan-2014,5,0,4223.72,70.3,16,f,Individual,1.0,1.0,"9830 Main St
RI 63889"
29000, 36 months,17.87,1046.53,C,C3,Teacher,1 year,RENT,73076.15,Verified,Sep-2019,Charged Off,credit_card,Credit card refinancing,28.68,Sep-2013,15,0,15796.44,30.3,25,w,Joint App,1.0,0.0,"3544 Main St
OR 74821"
9000, 36 months,11.81,298.11,B,B4,Sales,10+ years,RENT,103934.81,Not Verified,May-2016,Fully Paid,car,Car financing,22.21,Apr-2007,10,0,4658.38,17.5,22,f,Individual,6.0,0.0,"7442 Main St
NY 39055"
24000, 36 months,6.1,731.21,A,A1,Attorney,< 1 year,OWN,45591.89,Verified,Feb-2018,Fully Paid,small_business,Business,12.27,Jun-2011,9,0,8113.01,28.3,21,w,Individual,4.0,0.0,"3096 Main St
NC 66929"
12000, 60 months,11.69,265.06,D,D2,Teacher,10+ years,MORTGAGE,299463.94,Verified,Sep-2017,Charged Off,credit_card,Credit card refinancing,13.9,Mar-1989,14,0,732.77,,30,w,Individual,1.0,0.0,"2128 Main St
TN 65844"
40000, 60 months,9.0,830.33,B,B5,Software Engineer,4 years,RENT,56000.94,Source Verified,Aug-2017,Fully Paid,debt_consolidation,Debt consolidation,17.99,Apr-2001,7,0,622.06,42.3,18,w,Individual,6.0,0.0,"3440 Main St
FL 48819"
7500, 36 months,8.7,237.45,B,B5,Owner,2 years,RENT,57690.54,Not Verified,Feb-2020,Fully Paid,debt_consolidation,Debt consolidation,13.33,Sep-2010,13,0,12106.5,21.4,24,w,Individual,6.0,0.0,"1690 Main St
ND 12207"
33500, 36 months,9.28,1069.66,B,B1,Retail,10+ years,MORTGAGE,34682.54,Source Verified,Dec-2020,Fully Paid,debt_consolidation,Debt consolidation,10.75,Apr-1985,12,0,9198.92,54.9,24,w,Individual,1.0,0.0,"7314 Main St
WY 76597"
38000, 36 months,16.77,1350.46,C,C3,Supervisor,10+ years,MORTGAGE,55444.53,Source Verified,Oct-2016,Fully Paid,debt_consolidation,Debt consolidation,18.52,Nov-1997,11,2,28029.0,65.6,28,w,Individual,5.0,0.0,"8331 Main St
HI 75968"
26000, 36 months,11.47,857.01,C,C5,Director,10+ years,MORTGAGE,35748.77,Not Verified,Sep-2018,Fully Paid,educational,Educational,16.59,Aug-1989,16,0,18547.49,53.8,33,w,Individual,7.0,0.0,"3947 Main St
AR 14356"
19500, 36 months,9.1,621.0,A,A2,Business Analyst,4 years,OWN,219400.27,Not Verified,Aug-2018,Fully Paid,home_improvement,Home improvement,13.08,Jan-1987,6,1,44891.26,62.0,22,w,Individual,1.0,1.0,"6527 Main St
MN 69059"
32500, 36 months,9.02,1033.79,B,B4,Vice President,4 years,MORTGAGE,20355.7,Not Verified,Jun-2019,Fully Paid,debt_consolidation,Debt consolidation,17.91,Apr-2015,18,2,7838.49,32.4,32,w,Individual,4.0,0.0,"1121 Main St
PA 54797"
19500, 36 months,7.27,604.51,B,B3,Supervisor,2 years,RENT,14873.8,Verified,Sep-2020,Fully Paid,debt_consolidation,Debt consolidation,8.94,Sep-1994,18,0,14121.2,31.3,30,w,Individual,0.0,2.0,"2400 Main St
DC 92539"
25500, 60 months,14.0,593.34,B,B4,Director,10+ years,MORTGAGE,42824.24,Verified,Mar-2016,Fully Paid,debt_consolidation,Debt consolidation,19.13,Oct-1990,13,0,4465.54,14.3,28,w,Individual,,0.0,"8547 Main St
NJ 54491"
15500, 36 months,22.49,595.89,E,E3,Project Manager,,MORTGAGE,74613.71,Source Verified,Apr-2016,Fully Paid,car,Car financing,17.76,Jul-2006,11,0,5573.18,76.7,19,f,Individual,9.0,0.0,"5718 Main St
CA 13164"
40000, 60 months,14.41,939.25,D,D2,Project Manager,10+ years,MORTGAGE,135100.24,Not Verified,Dec-2018,Charged Off,credit_card,Credit card refinancing,11.49,Sep-2001,5,0,4203.05,34.5,15,f,Individual,1.0,0.0,"3244 Main St
WI 67561"
26000, 60 months,12.25,581.65,C,C4,Clerk,8 years,MORTGAGE,64955.2,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,7.89,Apr-1995,9,1,6666.5,67.1,21,f,Individual,10.0,0.0,"3208 Main St
AZ 51255"
32000, 36 months,9.59,1026.4,B,B2,Human Resources,8 years,MORTGAGE,49045.43,Verified,Jan-2016,Fully Paid,major_purchase,Major purchase,20.18,Nov-1986,8,0,2593.69,19.6,29,w,Individual,0.0,,"1267 Main St
UT 33861"
26500, 36 months,15.47,924.74,D,D4,Accountant,10+ years,RENT,60123.4,Not Verified,Jun-2015,Charged Off,other,Other,12.05,Jul-1999,9,0,8000.95,6.9,25,f,Individual,3.0,0.0,"8242 Main St
AL 58220"
19500, 36 months,20.4,728.67,E,E3,General Manager,9 years,OWN,95170.53,Verified,Jan-2015,Fully Paid,credit_card,Credit card refinancing,20.52,Nov-1989,3,0,15733.62,59.2,12,w,Individual,3.0,0.0,"5487 Main St
RI 74112"
40000, 36 months,9.55,1282.25,C,C2,Owner,4 years,RENT,29678.4,Source Verified,Sep-2017,Fully Paid,home_improvement,Home improvement,23.35,Nov-1995,10,0,3268.62,57.3,28,f,Joint App,2.0,0.0,"2013 Main St
MA 73348"
15500, 36 months,10.1,500.87,D,D3,Paramedic,4 years,MORTGAGE,108131.64,Verified,Jul-2018,Fully Paid,other,Other,35.74,May-2002,9,3,10211.78,24.8,20,w,Individual,6.0,0.0,"92 Main St
IN 69509"
26000, 36 months,16.37,918.84,D,D3,General Manager,2 years,RENT,19579.52,Not Verified,Sep-2016,Fully Paid,debt_consolidation,Debt consolidation,7.85,Jan-1992,16,0,4027.06,72.1,22,w,Joint App,4.0,1.0,"3344 Main St
CA 73231"
3000, 36 months,12.42,100.25,C,C4,Truck Driver,6 years,RENT,51690.93,Not Verified,May-2016,Fully Paid,car,Car financing,21.93,Jun-2004,6,2,5077.35,53.4,23,f,Individual,6.0,0.0,"331 Main St
AL 56966"
15000, 60 months,9.32,313.71,B,B4,Attorney,1 year,OWN,56433.78,Verified,Mar-2019,Charged Off,debt_consolidation,Debt consolidation,11.68,Oct-2013,19,1,8494.6,58.5,29,w,Individual,0.0,0.0,"2840 Main St
MS 12174"
